tract,Neighborhood,City,State,Teenage_Birth_Rate_women_only_rP_gF_pall,Income
24510120600,Old Goucher, Baltimore, MD,0.2762,High
24510070200,Madison - Eastend, Baltimore, MD,0.2756,High
24510090600,Coldstream - Homestead - Montebello, Baltimore, MD,0.2749,High
24510151200,Park Circle, Baltimore, MD,0.2746,High
24510130600,Hampden, Baltimore, MD,0.2706,High
24510090500,Better Waverly, Baltimore, MD,0.2648,High
24510160400,Midtown Edmondson, Baltimore, MD,0.2624,High
24510190300,Mount Clare, Baltimore, MD,0.2583,High
24510270805,Mid-Govans, Baltimore, MD,0.2577,High
24510260201,Frankford, Baltimore, MD,0.2551,High
24510250203,Cherry Hill, Baltimore, MD,0.2523,High
24510271503,Cross Keys, Baltimore, MD,0.2498,High
24510260203,Frankford, Baltimore, MD,0.2487,High
24510160700,Rosemont, Baltimore, MD,0.2448,High
24510280102,Gwynn Oak, Baltimore, MD,0.2416,High
24510260604,O'Donnell Heights, Baltimore, MD,0.2409,High
24510240100,Locust Point, Baltimore, MD,0.2401,High
24510250402,Brooklyn, Baltimore, MD,0.2378,High
24510160100,Harlem Park, Baltimore, MD,0.2364,High
24510200500,Mill Hill, Baltimore, MD,0.2356,High
24510151100,East Arlington, Baltimore, MD,0.2307,High
24510260800,Baltimore Highlands, Baltimore, MD,0.2301,High
24510270801,Idlewood, Baltimore, MD,0.2287,High
24510250500,Curtis Bay, Baltimore, MD,0.2285,High
24510151000,Dorchester, Baltimore, MD,0.2243,High
24510270401,Glenham-Belford, Baltimore, MD,0.2185,High
24510090300,Ednor Gardens - Lakeside, Baltimore, MD,0.216,High
24510010100,Canton, Baltimore, MD,0.2138,High
24510020100,Upper Fells Point, Baltimore, MD,0.2113,High
24510260301,Belair - Edison, Baltimore, MD,0.2109,High
24005403202,Gwynn Oak, Baltimore, MD,0.2096,High
24510271700,Central Park Heights, Baltimore, MD,0.208,High
24510030200,Little Italy, Baltimore, MD,0.205,High
24510270903,Hillen, Baltimore, MD,0.204,High
24510271900,Glen, Baltimore, MD,0.1979,High
24005402405,Gwynn Oak, Baltimore, MD,0.1975,High
24510280101,Reisterstown Station, Baltimore, MD,0.1963,High
24510270200,Lauraville, Baltimore, MD,0.191,High
24510250101,Beechfield, Baltimore, MD,0.1902,High
24003750201,Brooklyn, Baltimore, MD,0.1859,High
24510260102,Frankford, Baltimore, MD,0.1858,High
24510130805,Cold Springs, Baltimore, MD,0.1855,High
24510130200,Reservoir Hill, Baltimore, MD,0.1851,High
24510090400,Better Waverly, Baltimore, MD,0.1847,High
24510140200,Upton, Baltimore, MD,0.1812,High
24510250401,Brooklyn, Baltimore, MD,0.1802,High
24510271102,Mid-Charles, Baltimore, MD,0.1786,High
24510150900,Windsor Hills, Baltimore, MD,0.1781,High
24510250102,Yale Heights, Baltimore, MD,0.1779,High
24510260401,Armistead Gardens, Baltimore, MD,0.1756,High
24510280301,Gwynn Oak, Baltimore, MD,0.1729,High
24510110100,Downtown, Baltimore, MD,0.1715,High
24510270301,Lauraville, Baltimore, MD,0.1712,High
24510260101,Cedmont, Baltimore, MD,0.1705,High
24510080101,Belair - Edison, Baltimore, MD,0.1697,High
24510180300,Hollins Market, Baltimore, MD,0.1638,High
24510170100,Downtown, Baltimore, MD,0.1607,High
24510270102,Waltherson, Baltimore, MD,0.1605,High
24510130700,Hampden, Baltimore, MD,0.1563,High
24510230200,South Baltimore, Baltimore, MD,0.1534,High
24510260605,Medford - Broening, Baltimore, MD,0.1526,High
24005401302,Gwynn Oak, Baltimore, MD,0.1468,High
24005402403,Gwynn Oak, Baltimore, MD,0.141,High
24510270501,Woodring, Baltimore, MD,0.1393,High
24510270402,Glenham-Belford, Baltimore, MD,0.1348,High
24510130400,Woodbrook, Baltimore, MD,0.1346,High
24510280302,West Forest Park, Baltimore, MD,0.1343,High
24510280403,Westgate, Baltimore, MD,0.1312,High
24510272006,Glen, Baltimore, MD,0.1306,High
24510020200,Upper Fells Point, Baltimore, MD,0.1282,High
24510261000,Patterson Park, Baltimore, MD,0.1273,High
24510270502,North Harford Road, Baltimore, MD,0.1268,High
24510010400,Canton, Baltimore, MD,0.1268,High
24510250103,Violetville, Baltimore, MD,0.1242,High
24510110200,Downtown, Baltimore, MD,0.1239,High
24510140100,Bolton Hill, Baltimore, MD,0.1217,High
24510270600,Harford - Echodale - Perring Parkway, Baltimore, MD,0.1184,High
24510150701,Hanlon Longwood, Baltimore, MD,0.1149,High
24510040100,Downtown, Baltimore, MD,0.1099,High
24510250206,Morrell Park, Baltimore, MD,0.1092,High
24510160200,Sandtown-Winchester, Baltimore, MD,0.1083,High
24510261100,Canton, Baltimore, MD,0.1078,High
24510240400,Riverside Park, Baltimore, MD,0.1035,High
24510270302,Waltherson, Baltimore, MD,0.1034,High
24510240200,Riverside, Baltimore, MD,0.1007,High
24510270804,Lake Walker, Baltimore, MD,0.1002,High
24510130806,Woodberry, Baltimore, MD,0.0965,High
24510010500,Upper Fells Point, Baltimore, MD,0.0943,High
24510240300,Riverside, Baltimore, MD,0.0941,High
24510270703,North Harford Road, Baltimore, MD,0.0936,High
24510260700,Fifteenth Street, Baltimore, MD,0.0892,High
24510020300,Fells Point, Baltimore, MD,0.0856,High
